Thread Code,R,G,B
D41A18,165,164,163
D41M29,142,136,131
D41G63,140,134,128
D41A29,101,98,95
D41N98,184,188,184
D41D03,167,170,165
D41N19,169,169,163
D41A98,157,156,151
D41AAH,162,164,159
D41N75,193,198,194
D41G38,157,164,169
D41B10,138,142,146
D41AD1,142,148,152
D41A75,70,75,89
D41N83,69,68,75
D41B56,159,163,161
D41G00,159,165,166
D41B48,140,147,148
D41AF8,139,145,144
D41AE1,130,134,138
D41L24,74,76,88
D41AE9,65,63,74
D41C83,59,57,65
D10147,205,105,142
DT27,210,98,137
D105,207,66,116
D10148,225,93,133
DT28,256,99,149
D13,236,79,117
D10149,226,69,98
D10150,230,55,60
D8,248,77,104
DT11,263,99,121
D169,246,146,123
D10151,250,107,58
D10152,229,91,53
D10153,224,76,52
D10154,221,84,37
D10155,224,100,34
D10156,236,118,47
D50125,227,159,-12
D50126,223,178,35
D50127,234,202,74
D10157,255,171,56
D10158,284,157,65
D10159,287,115,61
DT26,268,114,83
D172,279,91,46
D50052,206,188,122
DT501,213,193,113
D50053,221,180,81
D50054,218,174,67
D50055,225,169,8
D50056,222,164,-23
D50057,220,160,-12
D50058,210,190,136
D50059,210,165,80
D50060,206,149,69
D50061,194,137,65
D50062,184,120,54
D530,210,195,157
D50063,211,185,120
DT503,214,164,80
D50064,204,138,64
D50065,210,123,31
D751,214,171,128
D50066,223,143,80
D50067,217,138,79
D50068,215,120,46
D534,216,115,41
D50069,211,113,43
D50070,200,100,33
D50071,206,102,24
D651,206,189,195
D005L,193,170,184
D637,169,132,168
D135,123,66,114
DS136,114,58,106
D639,108,58,111
D60001,122,63,115
D134,139,86,145
D636,179,160,185
D60002,144,115,154
D638,125,89,142
D60003,89,57,108
D60004,83,60,103
D60005,83,67,106
D002L,76,60,99
D60006,177,157,179
D601,149,120,157
D605,100,63,104
D677,76,49,78
D650,202,183,188
D652,173,146,158
D653,149,125,143
D655,98,72,97
D656,68,51,69
D60007,63,49,72
D30122,144,191,190
D30123,112,179,181
D30124,94,173,175
D392,64,128,138
